x,pdf,
372,-1.886443,0.067321707
373,-1.883442,0.06770367
374,-1.88044,0.068087186
375,-1.877439,0.068472258
376,-1.874437,0.068858888
377,-1.871436,0.069247076
378,-1.868434,0.069636826
379,-1.865433,0.070028138
380,-1.862431,0.070421015
381,-1.85943,0.070815458
382,-1.856428,0.071211469
383,-1.853427,0.071609049
384,-1.850425,0.072008201
385,-1.847424,0.072408925
386,-1.844422,0.072811223
387,-1.841421,0.073215096
388,-1.838419,0.073620546
389,-1.835418,0.074027575
390,-1.832416,0.074436184
391,-1.829415,0.074846374
392,-1.826413,0.075258146
393,-1.823412,0.075671501
394,-1.82041,0.076086442
395,-1.817409,0.076502969
396,-1.814407,0.076921083
397,-1.811406,0.077340785
398,-1.808404,0.077762077
399,-1.805403,0.078184959
400,-1.802401,0.078609433
401,-1.7994,0.079035499
402,-1.796398,0.079463159
403,-1.793397,0.079892413
404,-1.790395,0.080323262
405,-1.787394,0.080755707
406,-1.784392,0.081189749
407,-1.781391,0.081625388
408,-1.778389,0.082062626
409,-1.775388,0.082501462
410,-1.772386,0.082941898
411,-1.769385,0.083383934
412,-1.766383,0.08382757
413,-1.763382,0.084272808
414,-1.76038,0.084719647
415,-1.757379,0.085168089
416,-1.754377,0.085618132
417,-1.751376,0.086069779
418,-1.748374,0.086523028
419,-1.745373,0.08697788
420,-1.742371,0.087434336
421,-1.73937,0.087892396
422,-1.736368,0.08835206
423,-1.733367,0.088813327
424,-1.730365,0.089276198
425,-1.727364,0.089740673
426,-1.724362,0.090206752
427,-1.721361,0.090674435
428,-1.718359,0.091143721
429,-1.715358,0.091614611
430,-1.712356,0.092087103
431,-1.709355,0.092561199
432,-1.706353,0.093036898
433,-1.703352,0.093514198
434,-1.70035,0.093993101
435,-1.697349,0.094473605
436,-1.694347,0.09495571
437,-1.691346,0.095439415
438,-1.688344,0.095924721
439,-1.685343,0.096411625
440,-1.682341,0.096900128
441,-1.67934,0.097390229
442,-1.676338,0.097881926
443,-1.673337,0.09837522
444,-1.670335,0.098870109
445,-1.667334,0.099366593
446,-1.664332,0.09986467
447,-1.661331,0.100364339
448,-1.658329,0.1008656
449,-1.655328,0.101368451
450,-1.652326,0.101872891
451,-1.649325,0.102378919
452,-1.646323,0.102886534
453,-1.643322,0.103395734
454,-1.64032,0.103906518
455,-1.637319,0.104418885
456,-1.634317,0.104932833
457,-1.631316,0.10544836
458,-1.628314,0.105965466
459,-1.625313,0.106484148
460,-1.622311,0.107004405
461,-1.61931,0.107526235
462,-1.616308,0.108049637
463,-1.613307,0.108574608
464,-1.610305,0.109101147
465,-1.607304,0.109629251
466,-1.604302,0.11015892
467,-1.601301,0.11069015
468,-1.598299,0.111222941
469,-1.595298,0.111757288
470,-1.592296,0.112293192
471,-1.589295,0.112830648
472,-1.586293,0.113369656
473,-1.583292,0.113910212
474,-1.58029,0.114452315
475,-1.577289,0.114995962
476,-1.574287,0.11554115
477,-1.571286,0.116087876
478,-1.568284,0.11663614
479,-1.565283,0.117185936
480,-1.562281,0.117737264
481,-1.55928,0.11829012
482,-1.556278,0.118844501
483,-1.553277,0.119400404
484,-1.550275,0.119957828
485,-1.547274,0.120516767
486,-1.544272,0.121077221
487,-1.541271,0.121639185
488,-1.538269,0.122202656
489,-1.535268,0.122767631
490,-1.532266,0.123334108
491,-1.529265,0.123902081
492,-1.526263,0.12447155
493,-1.523262,0.125042509
494,-1.52026,0.125614955
495,-1.517259,0.126188885
496,-1.514257,0.126764295
497,-1.511256,0.127341182
498,-1.508254,0.127919542
499,-1.505253,0.128499371
500,-1.502251,0.129080666
